imageId,grade,lessonId,caption,reviewStatus,captionMatch,targetEventIds,targetEventTitles,relationTypes,confidences,reviewReason,changedFromOriginalDecision,originalDecisionStatus,originalDecisionEventId,webSourceGroups,duplicateOf
grade_10:12122:img_01,10,12122,* ** Hình 1. ** Cầu Long Biên (Hà Nội) *,approved,True,xay-dung-cau-long-bien,Xây cầu Long Biên,direct,high,"Ảnh trực tiếp là Cầu Long Biên, khớp đúng sự kiện xây dựng cầu.",False,approved,xay-dung-cau-long-bien,,
grade_10:12122:img_02,10,12122,,no_suitable_event,unknown,,,,,"Không có event nào trong tập event hiện có đủ quan hệ trực tiếp hoặc strong contextual với nội dung thật của ảnh. Điểm score, trùng token và thứ tự suggestion không được dùng làm bằng chứng.",True,deferred,,,
grade_10:12122:img_03,10,12122,* ** Hình 10. ** Lá để trang trí hình rồng gắn trên ngôi úp nóc ở Hoàng thành Thăng Long (Hà Nội) *,approved,True,doi-do-ly-cong-uan | ly-thai-to-doi-do-thang-long,Công cuộc dời đô của Lý Công Uẩn | Lý Thái Tổ dời đô ra Thăng Long,strong_contextual | strong_contextual,medium | medium,Hiện vật trang trí từ Hoàng thành Thăng Long minh họa trực tiếp không gian kinh đô hình thành sau cuộc dời đô.,True,deferred,,,
grade_10:12122:img_04,10,12122,* ** Hình 11. ** Trang đầu bản Tuyên ngôn Độc lập do Chủ tịch Hồ Chí Minh soạn thảo và công bố ngày 2 – 9 – 1945 *,approved,True,ho-chi-minh-cong-bo-tuyen-ngon-doc-lap,Hồ Chí Minh công bố Tuyên ngôn Độc lập,direct,high,"Ảnh là trang đầu Tuyên ngôn Độc lập, khớp trực tiếp sự kiện công bố Tuyên ngôn.",False,approved,ho-chi-minh-cong-bo-tuyen-ngon-doc-lap,,
grade_10:12122:img_05,10,12122,* ** Hình 12. ** Hình ảnh một tờ tiền của Việt Nam *,no_suitable_event,not_material,,,,,"Không có event nào trong tập event hiện có đủ quan hệ trực tiếp hoặc strong contextual với nội dung thật của ảnh. Điểm score, trùng token và thứ tự suggestion không được dùng làm bằng chứng.",True,deferred,,,
grade_10:12122:img_06,10,12122,,approved,True,su-ra-doi-nha-nuoc-au-lac | khang-chien-chong-quan-trieu-an-duong-vuong,Nhà nước Âu Lạc | Kháng chiến chống quân Triệu của An Dương Vương,strong_contextual | strong_contextual,high | high,"Ảnh ghép các hiện vật Cổ Loa và truyền thuyết nỏ thần, gắn trực tiếp với nhà nước Âu Lạc và cuộc kháng chiến của An Dương Vương.",True,deferred,,,
grade_10:12122:img_07,10,12122,,no_suitable_event,unknown,,,,,"Không có event nào trong tập event hiện có đủ quan hệ trực tiếp hoặc strong contextual với nội dung thật của ảnh. Điểm score, trùng token và thứ tự suggestion không được dùng làm bằng chứng.",True,deferred,,,
grade_10:12122:img_08,10,12122,,no_suitable_event,unknown,,,,,"Không có event nào trong tập event hiện có đủ quan hệ trực tiếp hoặc strong contextual với nội dung thật của ảnh. Điểm score, trùng token và thứ tự suggestion không được dùng làm bằng chứng.",True,deferred,,,
grade_10:12126:img_01,10,12126,,no_suitable_event,unknown,,,,,"Không có event nào trong tập event hiện có đủ quan hệ trực tiếp hoặc strong contextual với nội dung thật của ảnh. Điểm score, trùng token và thứ tự suggestion không được dùng làm bằng chứng.",False,no_suitable_event,,,
grade_10:12126:img_02,10,12126,"** Hình 1. ** Một bức vẽ trên vách hang Ma-gu-ra (Bun-ga-ri) mô tả hoạt động săn bắn của người nguyên thuỷ, niên đại khoảng 8.000 đến 4.000 năm cách ngày nay",no_suitable_event,not_material,,,,,"Không có event nào trong tập event hiện có đủ quan hệ trực tiếp hoặc strong contextual với nội dung thật của ảnh. Điểm score, trùng token và thứ tự suggestion không được dùng làm bằng chứng.",False,no_suitable_event,,,
