priority,eventId,title,category,currentPolicyGeoType,currentMarkerSummary,currentRegionSummary,issue,agentRecommendation,allowedDecisions,reviewerDecision,approvedGeoType,approvedMarkers,approvedProvinceNames,approvedGadmRefs,reviewer,reviewDate,reviewerNote
P1,bac-thanh-duoc-lap,Bắc Thành được lập,multi-point integrity flag: B_duplicate_coordinates,multi_point,Sơn Tây(high); Sơn Tây(high); Quảng Yên(high); Sơn Nam Thượng(medium); Bắc Thành(high); Hưng Hoá(high); Kinh Bắc(medium); Sơn Nam Hạ(medium),,multi-point integrity flag: B_duplicate_coordinates,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",DISABLE_GEOMETRY,no_location,[],[],[],Project owner — delegated policy approval,2026-08-04,Marker provenance insufficient or fewer than two independent locations after dedup. Fail-closed no_location applied.
P1,bru-nay-tuyen-bo-ranh-gioi-them-luc-dia,Bru-nây tuyên bố về ranh giới thềm lục địa 200 hải lí,island/border/transnational,no_location,,,island/border/transnational,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",ACCEPT_POLICY,no_location,[],[],[],Project owner — delegated policy approval,2026-08-04,Fail-closed no_location retained for high-risk island/border/transnational event. Official external evidence not collected this round; geometry is not restored without it.
P1,bru-nay-tuyen-bo-vung-dac-quyen-kinh-te,Bru-nây tuyên bố về vùng đặc quyền kinh tế,island/border/transnational,no_location,,,island/border/transnational,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",ACCEPT_POLICY,no_location,[],[],[],Project owner — delegated policy approval,2026-08-04,Fail-closed no_location retained for high-risk island/border/transnational event. Official external evidence not collected this round; geometry is not restored without it.
P1,cac-chien-dich-tien-cong-quan-doi-viet-nam-1950-1953,Các chiến dịch tiến công của Quân đội Việt Nam (1950-1953),multi-point integrity flag: B_duplicate_coordinates,multi_point,Trung du(low); Trung du(low); Tây Bắc(low); Hà Nam Ninh(medium),,multi-point integrity flag: B_duplicate_coordinates,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",DISABLE_GEOMETRY,no_location,[],[],[],Project owner — delegated policy approval,2026-08-04,Marker provenance insufficient or fewer than two independent locations after dedup. Fail-closed no_location applied.
P1,cac-chien-thang-quan-su-1964-1965,Các chiến thắng quân sự 1964-1965,multi-point integrity flag: B_duplicate_coordinates,multi_point,Đồng Xoài (Bình Phước)(high); Đồng Xoài (Bình Phước)(high); Ba Gia (Quảng Ngãi)(high); Bình Giã (Bà Rịa – Vũng Tàu)(high); An Lão (Bình Định)(high),,multi-point integrity flag: B_duplicate_coordinates,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",SET_MULTI_POINT,multi_point,"[{""name"": ""Đồng Xoài (Bình Phước)"", ""lat"": 11.5333, ""lng"": 106.9, ""confidence"": ""high""}, {""name"": ""Ba Gia (Quảng Ngãi)"", ""lat"": 15.1833, ""lng"": 108.7833, ""confidence"": ""high""}, {""name"": ""Bình Giã (Bà Rịa – Vũng Tàu)"", ""lat"": 10.65, ""lng"": 107.25, ""confidence"": ""high""}, {""name"": ""An Lão (Bình Định)"", ""lat"": 14.5, ""lng"": 108.7, ""confidence"": ""high""}]",[],[],Project owner — delegated policy approval,2026-08-04,Distinct high-confidence named localities retained after deduplicating the serialization artifact; no region evidence added. Not claimed as fully verified history.
P1,cac-dia-phuong-cuoi-cung-gianh-chinh-quyen,Đồng Nai Thượng và Hà Tiên là những địa phương cuối cùng giành chính quyền,multi-point integrity flag: B_duplicate_coordinates,multi_point,Đồng Nai Thượng(medium); Đồng Nai Thượng(medium); Hà Tiên(high),,multi-point integrity flag: B_duplicate_coordinates,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",DISABLE_GEOMETRY,no_location,[],[],[],Project owner — delegated policy approval,2026-08-04,Marker provenance insufficient or fewer than two independent locations after dedup. Fail-closed no_location applied.
P1,cai-cach-ho-quy-ly-trieu-ho,Cải cách của Hồ Quý Ly và triều Hồ,multi-point integrity flag: B_duplicate_coordinates,multi_point,Đa Bang(medium); Đa Bang(medium); Tây Đô(high),,multi-point integrity flag: B_duplicate_coordinates,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",DISABLE_GEOMETRY,no_location,[],[],[],Project owner — delegated policy approval,2026-08-04,Marker provenance insufficient or fewer than two independent locations after dedup. Fail-closed no_location applied.
P1,cai-cach-le-thanh-tong,Cuộc cải cách của Lê Thánh Tông,multi-point integrity flag: B_duplicate_only_one_distinct,multi_point,Đại Việt(low); Đại Việt(low),,multi-point integrity flag: B_duplicate_only_one_distinct,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",DISABLE_GEOMETRY,no_location,[],[],[],Project owner — delegated policy approval,2026-08-04,Multi-point contract violated: only one distinct coordinate and/or marker provenance insufficient. Fail-closed no_location applied.
P1,chien-dau-cac-do-thi-phia-bac-vi-tuyen-16-1946-1947,Cuộc chiến đấu ở các đô thị phía Bắc vĩ tuyến 16,multi-point integrity flag: B_duplicate_coordinates,multi_point,Bưu điện Bờ Hồ(high); Bưu điện Bờ Hồ(high); phố Khâm Thiên(high); Bắc Bộ Phủ(high); phía Bắc vĩ tuyến 16(low); ga Hàng Cỏ(high); Vinh(high),,multi-point integrity flag: B_duplicate_coordinates,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",DISABLE_GEOMETRY,no_location,[],[],[],Project owner — delegated policy approval,2026-08-04,Marker provenance insufficient or fewer than two independent locations after dedup. Fail-closed no_location applied.
P1,chien-dich-bien-gioi-thu-dong-1950,Chiến dịch Biên giới thu – đông năm 1950,multi-point integrity flag: B_duplicate_coordinates,multi_point,Đông Khê(high); Đông Khê(high); biên giới Việt – Trung(low); Việt Bắc(medium),,multi-point integrity flag: B_duplicate_coordinates,Review policy candidate geometry; no autonomous approval.,"['ACCEPT_POLICY', 'KEEP_MARKERS', 'SET_POINT', 'SET_MULTI_POINT', 'SET_MULTI_POLYGON', 'SET_MIXED', 'SET_NATIONWIDE', 'DISABLE_GEOMETRY', 'NEED_MORE_EVIDENCE']",DISABLE_GEOMETRY,no_location,[],[],[],Project owner — delegated policy approval,2026-08-04,Marker provenance insufficient or fewer than two independent locations after dedup. Fail-closed no_location applied.
